"filename", "language", "JavaScript", "Markdown", "HTML", "JSON", "JavaScript JSX", "XML", "CSS", "comment", "blank", "total"
"d:\Projects\plumber\src\Components\Blogs\BlogsForHomePage\Blog.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 3, 30
"d:\Projects\plumber\src\Components\Blogs\BlogsForHomePage\Blogs.jsx", "JavaScript JSX", 0, 0, 0, 0, 0, 0, 0, 27, 2, 29
"d:\Projects\plumber\src\Components\Blogs\LatestBlogs.jsx", "JavaScript JSX", 0, 0, 0, 0, 37, 0, 0, 4, 5, 46
"d:\Projects\plumber\src\Components\Contact\ContactForm.jsx", "JavaScript JSX", 0, 0, 0, 0, 168, 0, 0, 10, 9, 187
"d:\Projects\plumber\src\Components\Home\FunFacts.jsx", "JavaScript JSX", 0, 0, 0, 0, 67, 0, 0, 4, 6, 77
"d:\Projects\plumber\src\Components\Home\HeroSection.jsx", "JavaScript JSX", 0, 0, 0, 0, 62, 0, 0, 4, 5, 71
"d:\Projects\plumber\src\Components\Home\OurApproach.jsx", "JavaScript JSX", 0, 0, 0, 0, 70, 0, 0, 2, 4, 76
"d:\Projects\plumber\src\Components\Home\ServicesSlider.jsx", "JavaScript JSX", 0, 0, 0, 0, 218, 0, 0, 7, 5, 230
"d:\Projects\plumber\src\Components\Home\Testimonials.jsx", "JavaScript JSX", 0, 0, 0, 0, 118, 0, 0, 1, 4, 123
"d:\Projects\plumber\src\Components\NavbarForPhone.jsx", "JavaScript JSX", 0, 0, 0, 0, 131, 0, 0, 7, 8, 146
"d:\Projects\plumber\src\Components\Pricing\HappyClients.jsx", "JavaScript JSX", 0, 0, 0, 0, 31, 0, 0, 2, 3, 36
"d:\Projects\plumber\src\Components\Pricing\PricingTabs.jsx", "JavaScript JSX", 0, 0, 0, 0, 117, 0, 0, 4, 4, 125
"d:\Projects\plumber\src\Components\Services\AllServices.jsx", "JavaScript JSX", 0, 0, 0, 0, 21, 0, 0, 2, 3, 26
"d:\Projects\plumber\src\Components\Services\Service.jsx", "JavaScript JSX", 0, 0, 0, 0, 58, 0, 0, 6, 8, 72
"d:\Projects\plumber\src\Components\Services\ServiceDetail.jsx", "JavaScript JSX", 0, 0, 0, 0, 221, 0, 0, 14, 19, 254
"d:\Projects\plumber\src\Components\Shared\FAQ.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 5, 5, 73
"d:\Projects\plumber\src\Components\Shared\Footer.jsx", "JavaScript JSX", 0, 0, 0, 0, 83, 0, 0, 5, 7, 95
"d:\Projects\plumber\src\Components\Shared\Location.jsx", "JavaScript JSX", 0, 0, 0, 0, 112, 0, 0, 9, 9, 130
"d:\Projects\plumber\src\Components\Shared\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 0, 123, 0, 0, 0, 6, 129
"d:\Projects\plumber\src\Components\Shared\NotFound.jsx", "JavaScript JSX", 0, 0, 0, 0, 27, 0, 0, 1, 4, 32
"d:\Projects\plumber\src\Components\Shared\WhyChooseUs.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 0, 4, 4, 43
"d:\Projects\plumber\src\Components\Team\Quote.jsx", "JavaScript JSX", 0, 0, 0, 0, 36, 0, 0, 3, 3, 42
"d:\Projects\plumber\src\Components\Team\TeamMembers.jsx", "JavaScript JSX", 0, 0, 0, 0, 44, 0, 0, 4, 6, 54
"d:\Projects\plumber\src\Layout\Root.jsx", "JavaScript JSX", 0, 0, 0, 0, 17, 0, 0, 0, 3, 20
"d:\Projects\plumber\src\Pages\About\About.jsx", "JavaScript JSX", 0, 0, 0, 0, 35, 0, 0, 2, 3, 40
"d:\Projects\plumber\src\Pages\BlogDetails\BlogDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 1, 1, 16
"d:\Projects\plumber\src\Pages\Blog\Blog.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 1, 3, 17
"d:\Projects\plumber\src\Pages\Contact\Contact.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 2, 1, 25
"d:\Projects\plumber\src\Pages\Home\Home.jsx", "JavaScript JSX", 0, 0, 0, 0, 23, 0, 0, 1, 1, 25
"d:\Projects\plumber\src\Pages\Pricing\Pricing.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 2, 2, 26
"d:\Projects\plumber\src\Pages\Services\ServiceDetails.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 1, 3, 18
"d:\Projects\plumber\src\Pages\Services\Services.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 1, 1, 16
"d:\Projects\plumber\src\Pages\Team\Team.jsx", "JavaScript JSX", 0, 0, 0, 0, 22, 0, 0, 2, 3, 27
"d:\Projects\plumber\src\Router\Router.jsx", "JavaScript JSX", 0, 0, 0, 0, 63, 0, 0, 0, 3, 66
"d:\Projects\plumber\src\Router\ScrollToTop.jsx", "JavaScript JSX", 0, 0, 0, 0, 10, 0, 0, 0, 5, 15
"d:\Projects\plumber\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"d:\Projects\plumber\src\index.css", "CSS", 0, 0, 0, 0, 0, 0, 3, 0, 0, 3
"d:\Projects\plumber\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"d:\Projects\plumber\tailwind.config.js", "JavaScript", 37, 0, 0, 0, 0, 0, 0, 1, 2, 40
"d:\Projects\plumber\vite.config.js", "JavaScript", 5, 0, 0, 0, 0, 0, 0, 1, 2, 8
"Total", "-", 69, 5, 36, 5710, 2486, 2, 40, 196, 219, 8763
